frame,brightness,size,catchlights,blink
172,76.9102658788774,5416,4,0
173,77.08981380065717,5478,4,0
174,74.13232938160846,6242,5,0
175,78.53016453382084,5470,4,0
176,79.19479553903346,5380,4,0
177,79.43132887899034,5388,4,0
178,79.49164244186046,5504,4,0
179,75.4450721908349,6372,5,0
180,74.8495085995086,6512,5,0
181,75.60221169036335,6330,5,0
182,80.03339382940109,5510,4,0
183,79.82717353044703,5682,4,0
184,79.70290368271955,5648,4,0
185,77.96647280191584,5846,5,0
186,79.2708555200568,5634,4,0
187,79.19971264367815,5568,4,0
188,79.40084240084241,5698,4,0
189,79.41148160880027,5818,4,0
190,75.7045871559633,6540,5,0
191,74.64526088298858,6478,5,0
192,78.8825194621373,5652,4,0
193,74.6461961503208,6546,5,0
194,78.90641616448067,5642,4,0
195,79.17785714285715,5600,4,0
196,74.98493975903614,6640,5,0
197,75.04390543444887,6514,5,0
198,75.44416403785489,6340,5,0
199,79.15135327635328,5616,4,0
200,78.9881974248927,5592,4,0
201,79.18015759312321,5584,4,0
202,79.24188896899784,5548,4,0
203,79.37697841726619,5560,4,0
204,79.24309788454643,5578,4,0
205,78.78589511754069,5530,4,0
206,78.8497277676951,5510,4,0
207,77.08615916955017,5780,5,0
208,78.44578754578754,5460,4,0
209,78.57106320789185,5474,4,0
210,76.6173050615595,5848,5,0
211,77.58463172804532,5648,5,0
212,76.21584424303458,5958,5,0
213,78.80973451327434,5424,4,0
214,76.34116288024644,5194,4,0
215,75.55668841761828,4904,4,0
216,75.71546310832025,5096,4,0
217,75.37209302325581,5074,4,0
218,73.38303886925794,5660,5,0
219,77.26088693567719,5006,4,0
220,76.41755214482487,5082,4,0
221,77.5231124807396,5192,4,0
222,77.73431594860166,5292,4,0
223,77.97340015420201,5188,4,0
224,78.19753086419753,5184,4,0
225,78.09536373916322,5306,4,0
226,78.21297006907137,5212,4,0
227,78.32502874664623,5218,4,0
228,83.18272662384011,2802,2,1
229,78.63803680981596,5216,4,0
230,78.45073133179369,5196,4,0
231,78.21269230769231,5200,4,0
232,77.70235794356397,5174,4,0
233,75.92931309904154,5008,4,0
234,72.87129144851657,4584,4,0
235,0.0,0,0,1
236,0.0,0,0,1
237,48.14492753623188,414,1,1
238,0.0,0,0,1
239,0.0,0,0,1
240,0.0,0,0,1
241,0.0,0,0,1
242,0.0,0,0,1
243,0.0,0,0,1
244,0.0,0,0,1
245,0.0,0,0,1
246,0.0,0,0,1
247,0.0,0,0,1
248,0.0,0,0,1
249,0.0,0,0,1
250,0.0,0,0,1
251,0.0,0,0,1
252,0.0,0,0,1
253,0.0,0,0,1
254,55.24598930481283,374,1,1
255,0.0,0,0,1
256,57.141716566866265,1002,3,0
257,56.84795321637427,684,2,1
258,52.887978142076506,732,2,1
259,53.35737704918033,610,2,1
260,52.75794251134644,1322,4,0
261,53.14931506849315,1460,4,0
262,53.86901408450704,1420,4,0
263,55.30451127819549,1596,4,0
264,56.433476394849784,1398,3,0
265,55.559128630705395,1928,4,0
266,55.84301075268817,930,2,1
267,55.68421052631579,988,2,1
268,59.393626991565135,2134,4,0
269,62.29588014981273,2136,3,0
270,62.18556701030928,2134,3,0
271,64.36820083682008,2390,3,0
272,64.1339352896915,2658,4,0
273,64.26364942528735,2784,4,0
274,64.55880256593015,2806,4,0
275,65.18657243816254,2830,4,0
276,64.58183079056866,2884,4,0
277,63.801980198019805,3030,4,0
278,65.98668754894284,2554,3,0
279,63.62844036697248,2616,4,0
280,63.92354277062831,2642,4,0
281,65.26115166261151,2466,3,0
282,65.02663622526636,2628,3,0
283,65.36552748885588,2692,3,0
284,65.9463746223565,2648,3,0
285,65.56708673091178,2698,3,0
286,66.48136882129278,2630,3,0
287,66.57734204793029,2754,3,0
288,66.06657789613848,3004,4,0
289,65.86055519690123,3098,4,0
290,66.38793103448276,3016,4,0
291,65.95708955223881,3216,4,0
292,66.54968944099379,3220,4,0
293,66.49501867995019,3212,4,0
294,66.22917971195993,3194,4,0
295,64.33909574468085,1504,2,1
296,66.15203671830177,3486,4,0
297,67.07434554973823,3820,4,0
298,69.04664274730908,3902,4,0
299,70.45009596928983,4168,4,0
300,70.10478468899521,4180,4,0
301,71.76031164069661,4364,4,0
302,71.58820776789892,4274,4,0
303,69.90864440078586,2036,2,1
304,73.13015284854099,4318,4,0
305,74.05970829535096,4388,4,0
306,72.9263494967978,4372,4,0
307,72.73865199449794,4362,4,0
308,76.50327332242226,2444,2,1
309,72.62220309810671,4648,4,0
310,73.53106125970665,4636,4,0
311,76.73648648648648,2368,2,1
312,73.29918032786885,4880,4,0
313,73.66733952361727,4954,4,0
314,72.05669737774627,5644,5,0
315,72.42088032011641,5498,5,0
316,73.63682493657122,5518,5,0
317,76.33703987730061,5216,4,0
318,76.72586141613026,5282,4,0
319,76.95731254639941,5388,4,0
320,77.28656273199704,5388,4,0
321,77.16801541425819,5190,4,0
322,77.50114854517611,5224,4,0
323,77.40045078888055,5324,4,0
324,77.24868322046652,5316,4,0
325,77.45888399412628,5448,4,0
326,78.11449814126394,5380,4,0
327,77.81213235294118,5440,4,0
328,78.77072442120986,5356,4,0
329,73.36006415396953,2494,2,1
330,77.29026146267526,5278,4,0
331,80.08377358490566,2650,2,1
332,30.209946318454477,190382,16,1
333,77.29823889739663,5224,4,0
334,30.223630300142926,188910,12,1
335,74.09851049424509,5908,5,0
336,76.78305709023941,5430,4,0
337,74.53061900033101,6042,5,0
338,73.47781885397413,6492,5,0
339,78.99146250927988,5388,4,0
340,78.27089552238806,5360,4,0
341,78.37661843107388,5252,4,0
342,77.68613413715147,5308,4,0
343,77.34654205607477,5350,4,0
344,77.16378012048193,5312,4,0
345,77.01647940074906,5340,4,0
346,72.5243664717349,6156,5,0
347,77.02178812922615,5324,4,0
348,76.85545286506469,5410,4,0
